               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  55,            0.018271,           0.0044587,           0.0068064,             0.87996,             0.84335,             0.90676,             0.69576,            0.014631,           0.0022094,           0.0038468,           0.0010563,           0.0010563,           0.0010563
                  56,            0.018367,           0.0044805,           0.0067551,              0.9033,             0.82792,             0.90592,             0.69642,            0.014607,           0.0021987,           0.0039047,           0.0010098,           0.0010098,           0.0010098
                  57,            0.018235,           0.0044561,           0.0067987,             0.87186,             0.85109,             0.90669,             0.69702,            0.014651,           0.0022061,           0.0038461,           0.0009644,           0.0009644,           0.0009644
                  58,            0.018125,           0.0044782,           0.0068587,             0.89509,             0.83812,             0.90862,             0.69848,            0.014664,           0.0021922,           0.0038469,          0.00092032,          0.00092032,          0.00092032
                  59,             0.01822,           0.0044986,           0.0066522,             0.89496,             0.83951,             0.91004,               0.701,            0.014613,           0.0021843,           0.0037728,          0.00087758,          0.00087758,          0.00087758
                  60,            0.017993,           0.0044023,           0.0066268,             0.87269,             0.85349,             0.91063,             0.69945,            0.014611,           0.0021863,           0.0038066,          0.00083625,          0.00083625,          0.00083625
                  61,            0.018073,            0.004471,           0.0064902,             0.89444,             0.84378,             0.90913,             0.69986,             0.01454,           0.0021809,           0.0038285,          0.00079639,          0.00079639,          0.00079639
                  62,             0.01798,           0.0044533,           0.0066555,             0.90303,             0.83428,             0.90902,             0.70098,            0.014618,           0.0021838,           0.0038339,          0.00075807,          0.00075807,          0.00075807
                  63,            0.018176,           0.0044224,           0.0065973,             0.90589,             0.83271,             0.91043,             0.70107,             0.01462,           0.0021818,           0.0037264,          0.00072135,          0.00072135,          0.00072135
                  64,            0.018028,           0.0043714,           0.0065793,              0.8793,               0.854,             0.91242,             0.70288,             0.01452,           0.0021753,           0.0037686,          0.00068627,          0.00068627,          0.00068627
                  65,            0.017848,           0.0043354,           0.0064166,             0.89325,             0.83835,             0.90818,             0.70253,            0.014555,           0.0021767,           0.0038273,           0.0006529,           0.0006529,           0.0006529
                  66,            0.017867,            0.004474,           0.0062644,             0.87207,             0.86021,             0.90943,             0.70249,            0.014511,           0.0021719,           0.0037292,          0.00062129,          0.00062129,          0.00062129
                  67,            0.017845,           0.0043369,           0.0064625,             0.90059,             0.84178,             0.90969,             0.70375,            0.014495,           0.0021715,           0.0037291,          0.00059148,          0.00059148,          0.00059148
                  68,            0.017725,           0.0043706,           0.0062356,             0.88493,             0.85104,             0.90896,             0.70263,            0.014525,           0.0021739,           0.0037185,          0.00056353,          0.00056353,          0.00056353
                  69,            0.017685,           0.0043938,            0.006296,             0.90135,             0.83811,             0.90903,              0.7034,            0.014549,           0.0021688,            0.003722,          0.00053746,          0.00053746,          0.00053746
                  70,            0.017922,           0.0044638,           0.0064086,             0.90405,             0.83933,             0.91118,             0.70298,            0.014479,           0.0021684,             0.00363,          0.00051333,          0.00051333,          0.00051333
                  71,            0.017645,           0.0044389,           0.0063268,             0.90442,             0.83073,             0.90808,             0.70241,             0.01451,           0.0021686,           0.0036735,          0.00049118,          0.00049118,          0.00049118
                  72,            0.017904,           0.0044411,            0.006442,             0.90129,             0.83323,             0.90855,             0.70193,            0.014473,           0.0021685,           0.0036453,          0.00047103,          0.00047103,          0.00047103
                  73,            0.017633,           0.0043043,           0.0062728,             0.87992,             0.85289,             0.90997,             0.70456,             0.01443,           0.0021656,           0.0036357,          0.00045291,          0.00045291,          0.00045291
                  74,            0.017757,             0.00445,           0.0062694,             0.86266,             0.86653,              0.9098,             0.70333,            0.014447,           0.0021634,           0.0036217,          0.00043686,          0.00043686,          0.00043686
                  75,            0.017835,           0.0044216,           0.0061577,             0.87512,               0.861,             0.90967,             0.70132,             0.01443,           0.0021654,           0.0036141,           0.0004229,           0.0004229,           0.0004229
                  76,             0.01788,           0.0043737,           0.0062552,             0.91815,             0.82528,             0.90814,             0.70484,            0.014462,            0.002161,           0.0036006,          0.00041105,          0.00041105,          0.00041105
                  77,            0.017618,            0.004339,           0.0062569,             0.88759,             0.85128,             0.91099,             0.70543,            0.014427,            0.002156,           0.0035512,          0.00040133,          0.00040133,          0.00040133
                  78,            0.017676,           0.0043427,           0.0062178,             0.90077,             0.84193,             0.91208,             0.70485,            0.014446,           0.0021533,           0.0035451,          0.00039376,          0.00039376,          0.00039376
                  79,            0.017757,           0.0043941,           0.0062025,             0.89671,             0.84509,             0.91135,             0.70666,            0.014468,           0.0021552,           0.0035576,          0.00038834,          0.00038834,          0.00038834
